tournament,match_count,tier,region,stage_type,notes
Challengers League 2024 Spain Rising: Split 2,61,tier2,auto:EMEA,auto:main_event,
Challengers League Portugal Tempest: Split 1,61,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 Portugal Tempest: Split 2,61,tier2,auto:EMEA,auto:main_event,
Challengers 2026: North America ACE Stage 2,61,tier2,auto:NA,auto:main_event,
Challengers League Italy Rinascimento: Split 1,61,tier2,auto:EMEA,auto:main_event,
Crossfire Cup 2023,61,,,auto:main_event,
Challengers League 2024 East Surge: Split 2,61,tier2,,auto:main_event,
Valhalla Invitational,60,tier3,,auto:main_event,
Valorant Regional League Northern Europe: Polaris,60,tier2,auto:EMEA,auto:main_event,
Challengers League Portugal Tempest: Split 2,60,tier2,auto:EMEA,auto:main_event,
Challengers League Italy Rinascimento: Split 2,60,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 Italy Rinascimento: Split 2,59,tier2,auto:EMEA,auto:main_event,
Game Changers 2023 Latin America: Split 1,59,game_changers,,auto:main_event,
Champions Tour Vietnam Stage 2: Challengers,59,tier1,auto:SEA,auto:main_event,
NGL Open Cup,59,tier3,,auto:main_event,
LVP Rising Series #3,59,tier3,,auto:main_event,
Gamers Club Challengers League 2024 Brazil: Split 2,59,tier2,auto:Brazil,auto:main_event,
Oceania Tour: Stage 01,58,tier1,auto:Oceania,auto:main_event,
Champions Tour LATAM Stage 1: Challengers 2,58,tier1,auto:LATAM,auto:main_event,
Challengers League 2024 Türkiye Birlik: Split 2,58,tier2,auto:EMEA,auto:main_event,
T1 x Nerd Street Gamers Showdown,58,,auto:NA,auto:main_event,
Challengers League 2024 Philippines: Split 1,58,tier2,auto:SEA,auto:main_event,
Valorant Regional League DACH: Evolution - Unity,58,,auto:EMEA,auto:main_event,
First Strike: CIS,58,,auto:CIS,auto:main_event,
Champions Tour Brazil Stage 2: Challengers,57,tier1,auto:Brazil,auto:main_event,
Knights Monthly Gauntlet: January,57,tier3,auto:NA,auto:main_event,
Champions Tour LATAM Stage 1: Challengers 1,57,tier1,auto:LATAM,auto:main_event,
Champions Tour Korea Stage 1: Challengers,57,tier1,auto:Korea,auto:main_event,
Knights Circuit Monthly #1,56,tier3,auto:NA,auto:main_event,
Nerd Street Summer Championship 2022 - Open 4,56,tier3,auto:NA,auto:main_event,
Champions Tour 2023: Pacific League,56,tier1,auto:APAC,auto:main_event,
Challengers 2026: Brazil Gamers Club Stage 2,56,tier2,auto:Brazil,auto:main_event,
Nerd Street Gamers December Monthly,56,tier3,auto:NA,auto:main_event,
Game Changers 2023 Series I: North America,56,game_changers,auto:NA,auto:main_event,
Knights Monthly Gauntlet: December,56,tier3,auto:NA,auto:main_event,
Game Changers 2025: North America Stage 1,55,game_changers,auto:NA,auto:main_event,
Solary Cup,55,tier3,,auto:main_event,
