tournament,match_count,tier,region,stage_type,notes
Challengers 2026: Spain Rising Stage 1,31,tier2,auto:EMEA,auto:main_event,
KJC eSports VALORANT Tournament: One,31,tier3,,auto:main_event,
Frag Valorant Major - Philadelphia,31,tier3,,auto:main_event,
Red Bull Campus Clutch - World Final Stage,31,collegiate,auto:Global,auto:main_event,
Oceania Tour: Stage 2,31,tier1,auto:Oceania,auto:main_event,
Oceania Tour: Stage 1,31,tier1,auto:Oceania,auto:main_event,
Champions Tour CIS Stage 3: Challengers 1,31,tier1,auto:CIS,auto:main_event,
Nerd Street Gamers Summer Championship - May Qualifier,31,tier3,auto:NA,auto:qualifier,
Champions Tour CIS Stage 1: Challengers 2,31,tier1,auto:CIS,auto:main_event,
Nerd Street Summer Championship 2022 - Open 13,31,tier3,auto:NA,auto:main_event,
Mildom Masters,31,tier3,,auto:main_event,
Nerd Street Gamers October Monthly,31,tier3,auto:NA,auto:main_event,
Challengers League South Asia: Split 2,31,tier2,,auto:main_event,
ESL Clash of Nations 2023,31,,,auto:main_event,
AE League: Conqueror,31,tier3,,auto:main_event,
Challengers League Oceania: Stage 1,31,tier2,auto:Oceania,auto:main_event,
Nerd Street Gamers Summer Championship - Open 11,31,tier3,auto:NA,auto:main_event,
Challengers League South Asia: Split 1,31,tier2,,auto:main_event,
Champions Tour LATAM Stage 3: Challengers 2,30,tier1,auto:LATAM,auto:main_event,
AXE Genesis Tournament,30,tier3,,auto:main_event,
Champions Tour Turkey Stage 3: Challengers 2,30,tier1,auto:EMEA,auto:main_event,
A.W. EXTREME MASTERS Pro Invitational,30,tier3,,auto:main_event,
VCT 2026: Pacific Kickoff,30,tier1,auto:APAC,auto:main_event,
VCT 2026: Americas Kickoff,30,tier1,auto:Americas,auto:main_event,
Challengers 2026: LATAM South ACE Stage 2,30,tier2,auto:NA,auto:main_event,
LPL Summer Cup Legends 2021,30,tier3,,auto:main_event,
Nerd Street Gamers Summer Championship - July Qualifier,30,tier3,auto:NA,auto:qualifier,
FGC VALORANT Invitational 2022: Act 3,30,tier3,,auto:main_event,
Nerd Street Summer Championship 2022 - Open 11,30,tier3,auto:NA,auto:main_event,
Nerd Street Gamers Summer Championship - Open 6,30,tier3,auto:NA,auto:main_event,
ESA Open Fire All Stars 2022,30,,,auto:main_event,
Valorant Regional League France: Revolution - Coupe De France,30,,auto:EMEA,auto:main_event,
VCT 2026: China Kickoff,30,tier1,auto:China,auto:main_event,
Circuito de Elite - Round #1,30,tier3,,auto:main_event,
FGC VALORANT Invitational 2023: Act 2,30,tier3,,auto:main_event,
Challengers 2025: DACH Evolution Stage 3,30,tier2,auto:EMEA,auto:main_event,
VCT 2026: EMEA Kickoff,30,tier1,auto:EMEA,auto:main_event,
Challengers 2025: France Revolution Stage 3,30,tier2,auto:EMEA,auto:main_event,
For Those Who Dare,29,,,auto:main_event,
Challengers League Northern Europe Polaris: Split 2,29,tier2,auto:EMEA,auto:main_event,
WSOE Online V,29,tier3,,auto:main_event,
ROG x ThinkPro Valorant Championship,29,tier3,,auto:main_event,
Nerd Street Gamers Summer Championship - Open 10,29,tier3,auto:NA,auto:main_event,
Challengers 2023 DACH: Arcade,29,auto:tier2,auto:EMEA,auto:main_event,
Rivals Contenders,29,tier3,,auto:main_event,
Predator League 2026: Vietnam,29,,auto:SEA,auto:main_event,
Nerd Street Gamers Summer Championship - Open 7,29,tier3,auto:NA,auto:main_event,
Logitech G Pacific Open+,29,tier3,auto:APAC,auto:main_event,
LPL Spring Cup Legends 2021,29,tier3,,auto:main_event,
Challengers 2026: LATAM North ACE Stage 2,29,tier2,auto:NA,auto:main_event,
AOC Rising Heroes ANZ 2021,29,tier3,,auto:main_event,
Show Your Valor,29,tier3,,auto:main_event,
PLE.GG Valorant Nations Circuit,29,tier3,,auto:main_event,
Challengers 2025: Japan Stage 3,29,tier2,auto:Japan,auto:main_event,
Champions Tour LATAM Stage 3: Challengers 1,28,tier1,auto:LATAM,auto:main_event,
Nerd Street Gamers Summer Championship - Open 5,28,tier3,auto:NA,auto:main_event,
Challengers 2026: Japan Split 2,28,tier2,auto:Japan,auto:main_event,
Challengers 2025: South Asia Stage 1,28,tier2,,auto:main_event,
Nerd Street Gamers Winter Championship,28,tier3,auto:NA,auto:main_event,
Challengers 2026: Türkiye Birlik Kickoff,28,tier2,auto:EMEA,auto:main_event,
LPL Winter Cup Legends 2021,28,tier3,,auto:main_event,
Red Bull Home Ground #4,28,,,auto:main_event,
Champions Tour North America: Last Chance Qualifier,28,tier1,auto:NA,auto:lcq,
BoomTV Proving Grounds S3 - Semi-Pro Division,28,tier3,auto:NA,auto:main_event,
Game Changers 2023 Japan: Split 2,28,game_changers,auto:Japan,auto:main_event,
AfreecaTV Valorant SEA Invitational,28,,auto:SEA,auto:main_event,
Champions Tour EMEA: Last Chance Qualifier,28,tier1,auto:EMEA,auto:lcq,
Complexity x NSG Invitational,28,tier3,,auto:main_event,
Game Changers 2026: North America Stage 1,28,game_changers,auto:NA,auto:main_event,
Nerd Street Gamers Summer Championship - April Qualifier,28,tier3,auto:NA,auto:qualifier,
Valorant Champions Tour Stage 3: Masters Berlin,28,tier1,,auto:main_event,
Champions Tour LATAM Stage 2: Challengers 1,28,tier1,auto:LATAM,auto:main_event,
Red Bull Home Ground 2025,27,,,auto:main_event,
LVL Clash 2,27,,,auto:main_event,
Challengers 2023 France: Revolution Coupe de France,27,auto:tier2,auto:EMEA,auto:main_event,
VCT 2025: Pacific Ascension,27,tier1,auto:APAC,auto:main_event,
Xyper Arena Weekly Showdown #3,27,tier3,,auto:main_event,
Challengers 2025: Oceania Stage 2,27,tier2,auto:Oceania,auto:main_event,
LVP Genesis Cup Radiants,27,tier3,,auto:main_event,
Predator League Asia-Pacific 2025,27,,auto:APAC,auto:main_event,
First Strike: Japan,27,,auto:Japan,auto:main_event,
Rooter Rise of Legends,27,tier3,,auto:main_event,
ORDER Oceanic Open,27,,,auto:main_event,
LPL Autumn Cup Legends 2021,27,tier3,,auto:main_event,
Crossfire Cup 2022,27,,,auto:main_event,
Mystic Singularity Series #8,27,tier3,,auto:main_event,
National ShotVAL Pride,27,tier3,,auto:main_event,
Valorant Champions 2021,27,tier1,,auto:main_event,
Predator League 2026: Asia-Pacific,27,,auto:APAC,auto:main_event,
Predator League Asia Pacific 2024,27,,auto:APAC,auto:main_event,
Elite Invitational,27,tier3,,auto:main_event,
SOOP Valorant League 2025,27,,,auto:main_event,
WDG Challengers League 2024 Korea: Split 3,26,tier2,auto:Korea,auto:main_event,
Challengers 2025: Korea WDG Stage 2,26,tier2,auto:Korea,auto:main_event,
Nerd Street Gamers March Monthly,26,tier3,auto:NA,auto:main_event,
AORUS League BR,26,tier3,,auto:main_event,
Allied Esports Strafe Series #2,26,tier3,,auto:main_event,
Challengers 2025: DACH Evolution Stage 2,26,tier2,auto:EMEA,auto:main_event,
Game Changers Brazil - Series 2,26,game_changers,auto:Brazil,auto:main_event,
Challengers 2025: Korea WDG Stage 1,26,tier2,auto:Korea,auto:main_event,
Champions Tour LATAM Stage 2: Challengers 2,26,tier1,auto:LATAM,auto:main_event,
SOOP Valorant League 2024,26,,,auto:main_event,
Champions Tour LATAM Stage 1: Masters,26,tier1,auto:LATAM,auto:main_event,
Challengers 2025: NORTH//EAST Samsung Odyssey Stage 3,26,tier2,,auto:main_event,
VCT OFF//SEASON Spotlight Series 2024: EMEA,26,game_changers,auto:EMEA,auto:main_event,
BRAZA: Open Series by Elgin,26,,,auto:main_event,
Champions Tour Latin America North Stage 1: Challengers,26,tier1,,auto:main_event,
China Evolution Series Act 2: Selection,26,tier1,auto:China,auto:main_event,
Champions Tour South America: Last Chance Qualifier,26,tier1,,auto:lcq,
Challengers League MENA Resilience: Split 1,26,tier2,auto:EMEA,auto:main_event,
Nicecactus Christmas Trophy,25,tier3,,auto:main_event,
Knights VALORANT Freezeout,25,,auto:NA,auto:main_event,
FGC VALORANT Invitational 2022: Epilogue,25,tier3,,auto:main_event,
Red Bull Campus Clutch 2023 - World Finals,25,collegiate,auto:Global,auto:main_event,
Energy Vision,25,tier3,,auto:main_event,
Lethal Esports Invitational - Season 1,25,tier3,,auto:main_event,
Knights Invitational Gauntlet Series,25,tier3,auto:NA,auto:main_event,
Challengers 2026: Southeast Asia Split 2,25,tier2,auto:SEA,auto:main_event,
Challengers League 2024 Indonesia: Split 1,25,tier2,auto:SEA,auto:main_event,
Champions Tour 2024: Masters Shanghai,25,tier1,,auto:main_event,
Valorant Masters Toronto 2025,25,tier1,,auto:main_event,
Challengers 2026: Southeast Asia Split 1,25,tier2,auto:SEA,auto:main_event,
Champions Tour 2023 Pacific: Ascension,25,tier1,auto:APAC,auto:main_event,
Challengers 2026: DACH Evolution Stage 2,25,tier2,auto:EMEA,auto:main_event,
eFire Master League #1 Asia,25,tier3,,auto:main_event,
Champions Tour CIS Stage 3: Challengers 2,25,tier1,auto:CIS,auto:main_event,
Challengers 2026: Korea WDG Split 1,25,tier2,auto:Korea,auto:main_event,
Valorant Champions Tour Stage 1: Masters Reykjavík,24,tier1,,auto:main_event,
Valorant Champions Tour Stage 2: Masters Copenhagen,24,tier1,,auto:main_event,
Valorant Masters London 2026,24,tier1,,auto:main_event,
China Evolution Series Act 1: Variation,24,tier1,auto:China,auto:main_event,
Valorant Masters Santiago 2026,24,tier1,,auto:main_event,
Challengers League 2024 North: Polaris ECLIPSE,24,tier2,auto:EMEA,auto:main_event,
Moscow Cybersport Series #4,24,tier3,,auto:main_event,
Challengers 2025: EMEA Stage 3,24,tier2,auto:EMEA,auto:main_event,
The Esports Club Challenger Series 2020,24,tier3,,auto:main_event,
Challengers League 2024 Taiwan/Hong Kong: Split 1,24,tier2,auto:APAC,auto:main_event,
Huya Summer Festival,24,tier3,,auto:main_event,
Astral Clash 2023,24,game_changers,,auto:main_event,
Champions Tour 2023: Masters Tokyo,24,tier1,,auto:main_event,
Champions Tour Korea Stage 1: Challengers 2,24,tier1,auto:Korea,auto:main_event,
Challengers League 2024 Taiwan/Hong Kong: Split 2,23,tier2,auto:APAC,auto:main_event,
Toronto VALORANT: Viper’s Pit $10K #2,23,tier3,,auto:main_event,
Challengers League 2024 Vietnam: Split 2,23,tier2,auto:SEA,auto:main_event,
VALORANT East: United: Season 2: Stage 3 - League,23,tier3,,auto:main_event,
One Game Showdown,23,,,auto:main_event,
Challengers League 2024 LATAM South ACE: Split 1,23,tier2,auto:NA,auto:main_event,
Champions Tour Latin America North Stage 2: Challengers,23,tier1,,auto:main_event,
The Esports Club Gauntlet - Season 4,23,tier3,,auto:main_event,
Challengers 2025: Spain Rising Stage 3,23,tier2,auto:EMEA,auto:main_event,
Allied Esports Odyssey,23,,,auto:main_event,
Challengers League 2024 LATAM North ACE: Split 1,23,tier2,auto:NA,auto:main_event,
ICEBOX Northern Classic,23,tier3,,auto:main_event,
BLAST Spike Nations,23,tier3,,auto:main_event,
Nerd Street Summer Championship 2022 - Open 5,23,tier3,auto:NA,auto:main_event,
First Strike: Korea,23,,auto:Korea,auto:main_event,
Champions Tour Brazil Stage 3: Challengers 1,22,tier1,auto:Brazil,auto:main_event,
Challengers 2026: EMEA Stage 2,22,tier2,auto:EMEA,auto:main_event,
Dell Gaming Cup,22,tier3,,auto:main_event,
TOURSTAT Summer Clash,22,tier3,,auto:main_event,
VCT 2025: EMEA Kickoff,22,tier1,auto:EMEA,auto:main_event,
Challengers 2025: Korea WDG Stage 3,22,tier2,auto:Korea,auto:main_event,
Nerd Street Summer Championship 2022 - Open 12,22,tier3,auto:NA,auto:main_event,
VCT 2025: China Kickoff,22,tier1,auto:China,auto:main_event,
Nerd Street Gamers Summer Championship - Open 4,22,tier3,auto:NA,auto:main_event,
Challengers 2025: Japan Stage 1,22,tier2,auto:Japan,auto:main_event,
Champions Tour Brazil Stage 1: Challengers 2,22,tier1,auto:Brazil,auto:main_event,
Oceania Tour: Championship,22,tier1,auto:Oceania,auto:main_event,
VCT 2025: Pacific Kickoff,22,tier1,auto:APAC,auto:main_event,
Game Changers 2023 Brazil: Series 2,22,game_changers,auto:Brazil,auto:main_event,
Game Changers 2025: Brazil Stage 1,22,game_changers,auto:Brazil,auto:main_event,
Game Changers 2026: Brazil Stage 1,22,game_changers,auto:Brazil,auto:main_event,
Champions Tour Stage 3: EMEA Challengers Playoffs,22,tier1,auto:EMEA,auto:main_event,
AOC Masters Tournament 2020,22,tier3,,auto:main_event,
Challengers League 2024 LATAM North ACE: Split 2,22,tier2,auto:NA,auto:main_event,
BLAST Spike Nations #2,22,tier3,,auto:main_event,
BLAST Spike Nations #3,22,tier3,,auto:main_event,
Skyesports Pro Invitational 2.0,22,tier3,,auto:main_event,
Champions Tour Latin America South Stage 1: Challengers,22,tier1,,auto:main_event,
VCT 2025: Americas Kickoff,22,tier1,auto:Americas,auto:main_event,
Champions Tour Korea Stage 1: Challengers 1,22,tier1,auto:Korea,auto:main_event,
Campeonato de Elite - Stage 2,22,tier3,,auto:main_event,
Champions Tour Philippines Stage 2: Challengers 2,22,tier1,auto:SEA,auto:main_event,
ESL Clash of Nations: SEA,22,,,auto:main_event,
Champions Tour Malaysia & Singapore Stage 1: Challengers 1,22,tier1,auto:SEA,auto:main_event,
Nerd Street Summer Championship 2022 - Open 7,21,tier3,auto:NA,auto:main_event,
Champions Tour 2024 Americas: Ascension,21,tier1,auto:Americas,auto:main_event,
Razer Invitational Europe,21,tier3,auto:EMEA,auto:main_event,
Challengers League 2024 Vietnam: Split 1,21,tier2,auto:SEA,auto:main_event,
Penta Pro Series,21,,,auto:main_event,
Game Changers 2023 Brazil: Series 1,21,game_changers,auto:Brazil,auto:main_event,
Challengers League 2024 LATAM South ACE: Split 2,21,tier2,auto:NA,auto:main_event,
BoomTV VALORANT Select,21,,auto:NA,auto:main_event,
Liga Radiante: Season 9,21,tier3,,auto:main_event,
Dreamhack Showdown: Valorant Presented by Circles.Life,21,,,auto:main_event,
Red Bull Campus Clutch 2022 - World Final Stage,21,collegiate,auto:Global,auto:main_event,
Challengers 2026: NORTH//EAST Stage 2,21,tier2,,auto:main_event,
Rise of Titans,20,tier3,,auto:main_event,
WePlay! Invitational,20,,,auto:main_event,
Champions Tour Japan Stage 3: Challengers 2,20,tier1,auto:Japan,auto:main_event,
Game Changers 2024 North America: Series 2,20,game_changers,auto:NA,auto:main_event,
Champions Tour Japan Stage 3: Challengers 1,20,tier1,auto:Japan,auto:main_event,
Challengers 2025: MENA Resilience GCC-Pakistan-Iraq Stage 1,20,tier2,auto:EMEA,auto:main_event,
Game Changers 2024 EMEA: Kickoff,20,game_changers,auto:EMEA,auto:main_event,
Champions Tour Thailand Stage 2: Challengers 2,20,tier1,auto:SEA,auto:main_event,
Nerd Street Gamers Winter Championship - Regional LAN Philadelphia,20,tier3,auto:NA,auto:main_event,
Champions Tour Japan Stage 2: Challengers 1,20,tier1,auto:Japan,auto:main_event,
EMEA Clash 2026,20,,auto:EMEA,auto:main_event,
Champions Tour Hong Kong & Taiwan Stage 2: Challengers 2,20,tier1,auto:APAC,auto:main_event,
ESL Thailand Championship 2020,20,tier3,auto:SEA,auto:main_event,
Circuito Tormenta: Liga Radiante 2021 S1,20,tier3,,auto:main_event,
Game Changers 2024 LATAM South: Opening,20,game_changers,auto:LATAM,auto:main_event,
Superdome 2023: Egypt,20,,,auto:main_event,
Challengers 2025: DACH Evolution Stage 1,20,tier2,auto:EMEA,auto:main_event,
Challengers League 2024 South Asia: Split 2,19,tier2,,auto:main_event,
K&H Magyar Nemzeti E-sport Bajnokság #3,19,tier3,,auto:main_event,
Game Changers 2024 Brazil: Series 1,19,game_changers,auto:Brazil,auto:main_event,
Challengers League LATAM North ACE: Split 2,19,tier2,auto:NA,auto:main_event,
Game Changers 2024 Southeast Asia: Stage 1,19,game_changers,auto:SEA,auto:main_event,
32nd Southeast Asian Games,19,tier3,auto:SEA,auto:main_event,
Logitech G Invitational,19,tier3,,auto:main_event,
Xyper Arena Weekly Showdown #2,19,tier3,,auto:main_event,
Champions Tour Japan Stage 2: Challengers 2,19,tier1,auto:Japan,auto:main_event,
SEA Esports Championship 2023,19,tier3,,auto:main_event,
Champions Tour Japan Stage 1: Challengers 2,19,tier1,auto:Japan,auto:main_event,
Champions Tour Japan Stage 1: Challengers 1,19,tier1,auto:Japan,auto:main_event,
Game Changers 2024 LATAM North: Opening,19,game_changers,auto:LATAM,auto:main_event,
Challengers League LATAM South FiRe: Split 2,19,tier2,auto:LATAM,auto:main_event,
VCT 2025: Americas Ascension,19,tier1,auto:Americas,auto:main_event,
Champions Tour Brazil Stage 2: Challengers 1,19,tier1,auto:Brazil,auto:main_event,
Champions Tour 2024: EMEA Kickoff,19,tier1,auto:EMEA,auto:main_event,
Challengers 2026: EMEA Stage 1,19,tier2,auto:EMEA,auto:main_event,
Challengers 2025: MENA Resilience North Africa and Levant Stage 1,19,tier2,auto:EMEA,auto:main_event,
Champions Tour 2024 Pacific: Ascension,19,tier1,auto:APAC,auto:main_event,
Champions Tour 2024: Americas Kickoff,19,tier1,auto:Americas,auto:main_event,
Champions Tour 2024: China Kickoff,19,tier1,auto:China,auto:main_event,
Champions Tour 2024: Pacific Kickoff,19,tier1,auto:APAC,auto:main_event,
Challengers 2025: France Revolution Stage 1,19,tier2,auto:EMEA,auto:main_event,
Challengers 2025: EMEA Stage 2,18,tier2,auto:EMEA,auto:main_event,
NRG Neon Dream Invitational 2023,18,game_changers,,auto:main_event,
Valorant Champions Tour Stage 2: Masters Reykjavík,18,tier1,,auto:main_event,
Garuda Valorant Invitational: Season 3,18,tier3,,auto:main_event,
Valorant Regional League CIS: Milestone,18,tier2,auto:CIS,auto:main_event,
FGC Invitational 2024,18,,,auto:main_event,
Nerd Street Gamers Summer Championship - Last Chance Qualifier,18,tier3,auto:NA,auto:lcq,
Challengers 2025: EMEA Stage 1,18,tier2,auto:EMEA,auto:main_event,
Game Changers 2025: Championship Seoul,18,game_changers,,auto:main_event,
The Esports Club Challenger Series 8,18,tier3,,auto:main_event,
Champions Tour Hong Kong & Taiwan Stage 1: Challengers,18,tier1,auto:APAC,auto:main_event,
Protocolo: Gêneses 2021,18,game_changers,,auto:main_event,
The Esports Club Gauntlet - Season 2,18,tier3,,auto:main_event,
Chiefs Men Expert Invitational,18,tier3,,auto:main_event,
ORDER Nova Invitational,18,tier3,,auto:main_event,
Spike Nations #4,18,,,auto:main_event,
Knights Monthly Gauntlet 2022: August,18,tier3,auto:NA,auto:main_event,
Champions Tour Stage 1: EMEA Promotion,18,tier1,auto:EMEA,auto:main_event,
The Esports Club Showdown,18,tier3,,auto:main_event,
Game Changers 2024 Championship: Berlin,18,game_changers,,auto:main_event,
Spike Nations #5,18,,,auto:main_event,
Champions Tour SEA Stage 2: Challengers Finals,18,tier1,auto:SEA,auto:main_event,
Champions Tour Latin America South Stage 2: Challengers,18,tier1,,auto:main_event,
ESA Open Fire All Stars,18,tier3,,auto:main_event,
Champions Tour Malaysia & Singapore Stage 1: Challengers 2,18,tier1,auto:SEA,auto:main_event,
Valorant Challenge 2,17,tier3,,auto:main_event,
Project V: Project Queens - Split 3 Finals,17,game_changers,,auto:main_event,
Nerd Street Summer Championship 2022 - Open 6,17,tier3,auto:NA,auto:main_event,
Monsters Reloaded 2025,17,,,auto:main_event,
BoomTV Proving Grounds: Unleashed,17,tier3,auto:NA,auto:main_event,
Knights Monthly Gauntlet 2023: January,17,tier3,auto:NA,auto:main_event,
Sakura Cup: October,17,game_changers,,auto:main_event,
Champions Tour Brazil Stage 3: Challengers 3,17,tier1,auto:Brazil,auto:main_event,
Valorant Masters Bangkok 2025,17,tier1,,auto:main_event,
Champions Tour 2024: Masters Madrid,17,tier1,,auto:main_event,
Valorant Radiant Asia Invitational,17,,,auto:main_event,
Champions Tour Japan Stage 1: Challengers 3,17,tier1,auto:Japan,auto:main_event,
Champions Tour Thailand Stage 1: Challengers 2,17,tier1,auto:SEA,auto:main_event,
Knights Monthly Gauntlet: February,17,tier3,auto:NA,auto:main_event,
Road to VCT 2022,17,tier1,,auto:main_event,
Champions Tour Korea Stage 1: Challengers 3,17,tier1,auto:Korea,auto:main_event,
Astral Clash 2022,17,game_changers,,auto:main_event,
Valorant Open Tour France: Summer Qualifier,17,tier3,auto:EMEA,auto:qualifier,
Nerd Street Summer Championship 2022 - Open 1,17,tier3,auto:NA,auto:main_event,
Esports World Cup 2026: Americas Qualifier,17,tier1,auto:Americas,auto:qualifier,
G2 Esports Invitational,17,,,auto:main_event,
Esports World Cup 2026: Pacific Qualifier,17,tier1,auto:APAC,auto:qualifier,
Knights Monthly Gauntlet 2023: February,17,tier3,auto:NA,auto:main_event,
BLEED Summer Open,16,tier3,,auto:main_event,
RAGE Invitational,16,,,auto:main_event,
Mandatory.gg Cup #1,16,tier3,,auto:main_event,
First Strike: Indonesia,16,,auto:SEA,auto:main_event,
Champions Tour LATAM Stage 3: Challengers Playoffs,16,tier1,auto:LATAM,auto:main_event,
A.W. EXTREME MASTERS Asia Invitational,16,tier3,,auto:main_event,
Superb Cup,16,,,auto:main_event,
Game Changers 2025: LATAM South Stage 1,16,game_changers,auto:LATAM,auto:main_event,
Champions Tour Brazil Stage 1: Challengers 3,16,tier1,auto:Brazil,auto:main_event,
Champions Tour 2023 Americas: Ascension,16,tier1,auto:Americas,auto:main_event,
Champions Tour 2023 China: Ascension,16,tier1,auto:China,auto:main_event,
Challengers 2026: Korea WDG Split 2,16,tier2,auto:Korea,auto:main_event,
Esports World Cup 2026: EMEA Qualifier,16,tier1,auto:EMEA,auto:qualifier,
Challengers League 2024 Oceania: Stage 2,16,tier2,auto:Oceania,auto:main_event,
GO2DEN Snow Cup,16,tier3,,auto:main_event,
Champions Tour 2024 China: Ascension,16,tier1,auto:China,auto:main_event,
Nerd Street Gamers September Monthly,16,tier3,auto:NA,auto:main_event,
Knights Circuit Monthly #2,16,tier3,auto:NA,auto:main_event,
VCT 2025: China Ascension,16,tier1,auto:China,auto:main_event,
Challengers 2026: MENA Resilience - North Africa Kickoff,16,tier2,auto:EMEA,auto:main_event,
Pop Flash Invitational,16,,,auto:main_event,
VERSUS LEGENDS II,16,tier3,,auto:main_event,
Challengers League 2024 LATAM South ACE: Split 3,16,tier2,auto:NA,auto:main_event,
Challengers League 2024 LATAM North ACE: Split 3,16,tier2,auto:NA,auto:main_event,
Game Changers 2025: LATAM North Stage 1,16,game_changers,auto:LATAM,auto:main_event,
Game Changers 2025: LATAM Main Event,16,game_changers,auto:LATAM,auto:main_event,
China Evolution Series 2026: Act 2,16,tier1,auto:China,auto:main_event,
Nerd Street Gamers Summer Championship - Open 3,16,tier3,auto:NA,auto:main_event,
Gamers Club Ultimate,15,,,auto:main_event,
LVP Genesis Cup Sombras,15,tier3,,auto:main_event,
Game Changers 2025: China Stage 1,15,game_changers,auto:China,auto:main_event,
GLL Orbital Strike Cup,15,tier3,,auto:main_event,
Knights Monthly Gauntlet 2023: August,15,tier3,auto:NA,auto:main_event,
Knights Monthly Gauntlet 2023: October,15,tier3,auto:NA,auto:main_event,
Game Changers 2024 North America: Series 3,15,game_changers,auto:NA,auto:main_event,
Knights Monthly Gauntlet 2022: November,15,tier3,auto:NA,auto:main_event,
JBL Quantum Cup,15,tier3,,auto:main_event,
Knights Monthly Gauntlet 2022: September,15,tier3,auto:NA,auto:main_event,
LVP Genesis Cup Viento,15,tier3,,auto:main_event,
LPL Summer Cup Legends 2022,15,tier3,,auto:main_event,
100T x Cashapp Gamers for Equality,15,tier3,,auto:main_event,
Protocolo: Gêneses 2022,15,game_changers,,auto:main_event,
Champions Tour Indonesia Stage 1: Challengers 3,15,tier1,auto:SEA,auto:main_event,
CLG Blitz CUP #2,15,tier3,,auto:main_event,
CLG Blitz CUP #1,15,tier3,,auto:main_event,
Champions Tour Brazil Stage 2: Challengers 3,15,tier1,auto:Brazil,auto:main_event,
No Tilt Cup: Latin America North,15,tier3,,auto:main_event,
BREAKPOINT 2025 MY/SG: Split 1,15,tier3,,auto:main_event,
Nerd Street Summer Championship 2022 - Open 2,15,tier3,auto:NA,auto:main_event,
Ultimaster AOC,15,tier3,,auto:main_event,
Valorant Radiant International Invitational,15,,auto:Global,auto:main_event,
Desafío Legión,15,tier3,,auto:main_event,
Valorant Regional League MENA: Resilience Off-Season,15,,auto:EMEA,auto:main_event,
Sean Gares OFF//SEASON Showdown,15,,,auto:main_event,
WD Black Cup: Season 2,15,tier3,,auto:main_event,
Serenity Invitational,15,tier3,,auto:main_event,
A1 eSports League,15,tier3,,auto:main_event,
First Strike: Brazil,15,,auto:Brazil,auto:main_event,
MissHarvey Invitational #2,15,game_changers,,auto:main_event,
First Strike: Malaysia & Singapore,15,,auto:SEA,auto:main_event,
Mandatory.gg Cup #3,15,,,auto:main_event,
Fnatic Proving Grounds,15,tier3,,auto:main_event,
Game Changers 2025: Brazil Stage 2,14,game_changers,auto:Brazil,auto:main_event,
Champions Tour Brazil Stage 3: Challengers Playoffs,14,tier1,auto:Brazil,auto:main_event,
Challengers League 2024 South Asia: Split 3,14,tier2,,auto:main_event,
Tixinha Invitational by BONOXS,14,,,auto:main_event,
The Esports Club Challenger Series 6,14,tier3,,auto:main_event,
VALORANT East: United: Season 2: Stage 3 - Finals,14,tier3,,auto:main_event,
Game Changers 2024 Southeast Asia: Stage 2,14,game_changers,auto:SEA,auto:main_event,
Champions Tour Brazil Stage 2: Challengers Finals,14,tier1,auto:Brazil,auto:main_event,
Lof x DTS Invitational Series,14,tier3,,auto:main_event,
Champions Tour CIS Stage 2: Challengers 1,14,tier1,auto:CIS,auto:main_event,
Knights Circuit Weekly #2,14,tier3,auto:NA,auto:main_event,
Champions Tour East Asia: Last Chance Qualifier,14,tier1,,auto:lcq,
Champions Tour Game Changers Asia Pacific: Elite,14,game_changers,auto:APAC,auto:main_event,
T1 x Nerd Street Gamers Invitational,14,tier3,auto:NA,auto:main_event,
Challengers 2026: SEA Split 2 - Rest of SEA Qualifier,14,tier2,auto:SEA,auto:qualifier,
Champions Tour Game Changers Asia Pacific: Open 2,14,game_changers,auto:APAC,auto:main_event,
Champions Tour Game Changers Asia Pacific: Open 3,14,game_changers,auto:APAC,auto:main_event,
Champions Tour Game Changers Asia Pacific: Open 4,14,game_changers,auto:APAC,auto:main_event,
Synnex FPT Gaming Tournament,14,tier3,,auto:main_event,
Champions Tour Game Changers Asia Pacific: Open 1,14,game_changers,auto:APAC,auto:main_event,
Challengers 2026: SEA Split 1 - Indonesia Qualifier,14,tier2,auto:SEA,auto:qualifier,
Challengers 2026: SEA Split 2 - Indonesia Qualifier,14,tier2,auto:SEA,auto:qualifier,
Game Changers 2025: Pacific,14,game_changers,auto:APAC,auto:main_event,
epic31 Online,14,tier3,,auto:main_event,
Zotac Cup,14,tier3,,auto:main_event,
AMD Valorant Adrenalin Invitational,14,tier3,,auto:main_event,
WALL-E Cup,14,,,auto:main_event,
Gamers Club Ultimate II,14,,,auto:main_event,
Valorant Regional Leagues 2022: Finals,14,tier2,,auto:main_event,
Valorant Open Tour France: Fall Qualifier,14,tier3,auto:EMEA,auto:qualifier,
Game Changers 2026: Brazil Kickoff,14,game_changers,auto:Brazil,auto:main_event,
Game Changers 2025: Southeast Asia Split 2,14,game_changers,auto:SEA,auto:main_event,
Brazil Spray Series,14,tier3,auto:Brazil,auto:main_event,
Challengers 2025: South Asia Stage 2,14,tier2,,auto:main_event,
Challengers 2026: SEA Split 1 - Vietnam Qualifier,14,tier2,auto:SEA,auto:qualifier,
Game Changers 2025: North America Kickoff,14,game_changers,auto:NA,auto:main_event,
Game Changers 2025: LATAM South Stage 2,14,game_changers,auto:LATAM,auto:main_event,
Challengers 2025: South Asia Stage 3,14,tier2,,auto:main_event,
